name,type,category,power_w,min_power_w,max_power_w,default_hours,continuous,count,total_power_w
Air Conditioner,1.5 Ton AC,Heating & Cooling,1500,1200,1800,6.0,False,3,4500
Water Heater,Geyser,Heating & Cooling,2500,2000,3000,0.5,False,2,5000
Space Heater,Room Heater,Heating & Cooling,1750,1500,2000,2.0,False,1,1750
Electric Iron,Steam Iron,Heating & Cooling,1750,1000,2500,0.5,False,1,1750
Induction Cooktop,Induction,Kitchen,1600,1200,2000,1.0,False,1,1600
Microwave Oven,Microwave,Kitchen,1250,1000,1500,0.3,False,1,1250
Electric Kettle,Kettle,Kitchen,1500,1200,1800,0.2,False,1,1500
Mixer Grinder,Mixer/Grinder,Kitchen,625,500,750,0.2,False,1,625
Refrigerator,Double Door,Kitchen,200,150,250,24.0,True,1,200
Washing Machine,Semi/Top Load,Utility & Laundry,750,500,1000,0.5,False,0,0
Washing Machine,Front Load,Utility & Laundry,1850,1500,2200,0.5,False,1,1850
Clothes Dryer,Electric Dryer,Utility & Laundry,2500,2000,3000,1.0,False,0,0
Water Pump,Domestic Pump,Utility & Laundry,1125,750,1500,1.0,False,1,1125
Ceiling Fan,Standard,Cooling & Airflow,75,70,80,8.0,False,5,375
Ceiling Fan,BLDC,Cooling & Airflow,32,28,35,8.0,False,0,0
Table Fan,Table/Pedestal,Cooling & Airflow,60,50,70,6.0,False,0,0
Air Cooler,Desert/Personal,Cooling & Airflow,200,150,250,6.0,False,0,0
LED TV,32-50 inch,Entertainment,65,30,100,5.0,False,2,130
Desktop Computer,Gaming/Performance PC,Electronics,350,200,500,5.0,False,1,350
Laptop,Laptop,Electronics,65,45,90,6.0,False,2,130
Wi-Fi Router,Router/Modem,Electronics,12,10,15,24.0,True,1,12
Smartphone Charger,Phone Charger,Electronics,8,5,12,2.0,False,3,24
LED Bulb,LED,Lighting,9,7,12,6.0,False,10,90
Tube Light,LED Tube,Lighting,20,18,22,6.0,False,4,80
CFL Bulb,CFL,Lighting,20,15,25,6.0,False,0,0
Incandescent Bulb,Traditional,Lighting,80,60,100,6.0,False,0,0
